book,order,section_type,part_number,number,title,heading_id,heading_text,pov,word_count,line_start,line_end
Words of Radiance,82,chapter,4,66,Stormblessings,chapter_66,Chapter 66: Stormblessings,Kaladin,3077,22213,22446
Words of Radiance,83,chapter,4,67,Spit and Bile,chapter_67,Chapter 67: Spit and Bile,Dalinar,5938,22447,22894
Words of Radiance,84,chapter,4,68,Bridges,chapter_68,Chapter 68: Bridges,Kaladin,7167,22895,23436
Words of Radiance,85,chapter,4,69,Nothing,chapter_69,Chapter 69: Nothing,Shallan,3993,23437,23762
Words of Radiance,86,chapter,4,70,From a Nightmare,chapter_70,Chapter 70: From a Nightmare,Kaladin,4779,23763,24146
Words of Radiance,87,chapter,4,71,Vigil,chapter_71,Chapter 71: Vigil,Kaladin,5968,24147,24698
Words of Radiance,88,chapter,4,72,Selfish Reasons,chapter_72,Chapter 72: Selfish Reasons,Shallan,4085,24699,25046
Words of Radiance,89,chapter,4,73,A Thousand Scurrying Creatures,chapter_73,Chapter 73: A Thousand Scurrying Creatures,Shallan,2857,25047,25330
Words of Radiance,90,chapter,4,74,Striding the Storm,chapter_74,Chapter 74: Striding the Storm,Kaladin,2717,25331,25520
Words of Radiance,91,chapter,4,75,True Glory,chapter_75,Chapter 75: True Glory,Dalinar,3864,25521,25862
Words of Radiance,92,interlude,4,12,,interlude_12,Interlude I-12,Lhan,2539,25863,26020
Words of Radiance,93,interlude,4,13,,interlude_13,Interlude I-13,Eshonai,517,26021,26068
Words of Radiance,94,interlude,4,14,,interlude_14,Interlude I-14,Taravangian,7088,26069,26562
Words of Radiance,95,part,5,5,Winds Alight,part_5,Part Five: Winds Alight,,0,26563,26564
Words of Radiance,96,chapter,5,76,The Hidden Blade,chapter_76,Chapter 76: The Hidden Blade,Kaladin,4970,26565,27008
Words of Radiance,97,chapter,5,77,Trust,chapter_77,Chapter 77: Trust,Shallan,3961,27009,27336
Words of Radiance,98,chapter,5,78,Contradictions,chapter_78,Chapter 78: Contradictions,Shallan,3332,27337,27604
Words of Radiance,99,chapter,5,79,Toward the Center,chapter_79,Chapter 79: Toward the Center,Dalinar,1523,27605,27736
Words of Radiance,100,chapter,5,80,To Fight the Rain,chapter_80,Chapter 80: To Fight the Rain,Kaladin,3573,27737,27982
Words of Radiance,101,chapter,5,81,The Last Day,chapter_81,Chapter 81: The Last Day,Dalinar,7281,27983,28562
Words of Radiance,102,chapter,5,82,For Glory Lit,chapter_82,Chapter 82: For Glory Lit,Kaladin,4124,28563,28872
Words of Radiance,103,chapter,5,83,Time's Illusion,chapter_83,Chapter 83: Time's Illusion,Adolin,3858,28873,29176
Words of Radiance,104,chapter,5,84,The One Who Saves,chapter_84,Chapter 84: The One Who Saves,Kaladin,3121,29177,29452
Words of Radiance,105,chapter,5,85,Swallowed by the Sky,chapter_85,Chapter 85: Swallowed by the Sky,Dalinar,3424,29453,29756
Words of Radiance,106,chapter,5,86,Patterns of Light,chapter_86,Chapter 86: Patterns of Light,Shallan,6044,29757,30304
Words of Radiance,107,chapter,5,87,The Riddens,chapter_87,Chapter 87: The Riddens,Kaladin,4542,30305,30644
Words of Radiance,108,chapter,5,88,The Man Who Owned the Winds,chapter_88,Chapter 88: The Man Who Owned the Winds,Shallan,4224,30645,31004
Words of Radiance,109,chapter,5,89,The Four,chapter_89,Chapter 89: The Four,Adolin,4069,31005,31314
Words of Radiance,110,epilogue,5,,Art and Expectation,epilogue,Epilogue: Art and Expectation,Wit,1818,31315,31471
